time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1738772229220571600,18.069571533203124,0.21192280816073464,0.34385352392407076,0.0988742937731609,-0.002144583979189595,0.9331259709284483,0.035560320311741216,0.7059398053414996
1738772229230562600,18.0795625,0.2119221032765806,0.34385231699166363,0.09887486788250907,-0.002139506135244083,0.9331263405263028,0.03556245894006428,0.7059377888949211
1738772229240554800,18.0895546875,0.21193435584404782,0.34385494168413205,0.09887859636162223,-0.002150514179158274,0.93312510684759,0.03555967293690796,0.7059427352189077
1738772229250545700,18.099545654296875,0.21193762009262768,0.3438562677471599,0.09887904013344952,-0.002156595119941721,0.9331245794639725,0.0355575192036678,0.7059449924077325
1738772229260536600,18.10953662109375,0.21193302201538058,0.34385625489244676,0.09887800488079308,-0.0021501250457052054,0.9331245578502236,0.035559775826920506,0.705945431021678
1738772229270527500,18.119527587890627,0.21193361739397165,0.3438580463301203,0.09887711988000877,-0.0021565193657885114,0.9331241220439576,0.03555705112570244,0.705948639699652
1738772229280518700,18.1295185546875,0.211930762072959,0.3438565129970829,0.09887534360091946,-0.002159487987176748,0.9331249792141243,0.035554988136332955,0.7059449519497094
1738772229290509800,18.139509765625,0.2119326690096511,0.34385367379885506,0.09887620947294144,-0.0021602896254887577,0.9331259512537561,0.035554637862297914,0.705938857514583
1738772229300501800,18.149501708984374,0.21192500414239834,0.34385583340737713,0.09887267118580596,-0.002159619349041386,0.9331255197592626,0.03555385591384428,0.7059432299087398
1738772229310492700,18.15949267578125,0.21192216466657562,0.3438572448552104,0.09887055822869396,-0.0021639010738614376,0.9331253564468722,0.035551488965660946,0.7059457312428742
1738772229320483600,18.169483642578125,0.2119248641806069,0.34386173304633805,0.09886952038232474,-0.0021763262545589643,0.9331240232115107,0.03554657262813806,0.7059541586854444
1738772229330474500,18.179474609375,0.2119269135469722,0.3438654054296065,0.09887016949004972,-0.0021772883918069453,0.9331225463437498,0.03554687081458268,0.7059619682473881
1738772229340465700,18.189465576171877,0.21192297449927056,0.34386640820180625,0.09886780111017814,-0.0021801934132070406,0.9331224968907301,0.035544922894497025,0.7059636553427641
1738772229350456800,18.199456787109376,0.21192132792995422,0.34386660191952345,0.09886635184310913,-0.002184173833942794,0.9331226455828153,0.03554278056491283,0.7059635727505378
1738772229360448500,18.209448486328125,0.21191007826614344,0.34386668697070993,0.09886225407584259,-0.002177447919167435,0.9331229773821917,0.03554400979164816,0.7059640177939004
1738772229370439700,18.219439697265624,0.21190512714585577,0.3438689141214507,0.09885991672290602,-0.002177030518302848,0.9331225112552328,0.035543575863754236,0.7059687273271922
1738772229380430600,18.2294306640625,0.2118976002771638,0.3438693668326483,0.09885694856472213,-0.002173772177190844,0.933122628167384,0.03554385496482978,0.70596973846566
1738772229390421500,18.23942138671875,0.21188977158822586,0.34387397180250556,0.09885471643028466,-0.002164403362230607,0.9331209721159176,0.035547411509677024,0.7059802506328968
1738772229400412700,18.24941259765625,0.2118890441840837,0.3438717798197095,0.09885637718849544,-0.002153149762598425,0.9331214239442581,0.03555236018986882,0.7059767241933739
1738772229410403800,18.25940380859375,0.21189639930151957,0.343874158769447,0.09886162848092951,-0.0021418353973059853,0.933119744976559,0.035559229836219564,0.7059833166096867
1738772229420395500,18.2693955078125,0.2118993744558211,0.34387792578483406,0.09886220989536144,-0.0021456795416781773,0.9331183262271424,0.03555833559891502,0.7059910947418372
1738772229430386700,18.27938671875,0.21188301956602584,0.3438812651489108,0.0988553640241069,-0.002140335607136392,0.93311782578477,0.035558369865214566,0.7059982011999858
1738772229440377600,18.289377685546874,0.2118701812175801,0.3438802446407798,0.09884860847074835,-0.002145166226552058,0.9331190561775248,0.035553753183828925,0.7059949797246226
1738772229450368800,18.29936865234375,0.21186692145036526,0.34388049550586774,0.09884800816417631,-0.0021397240997426356,0.9331189243380494,0.03555578333436078,0.7059959471347713
1738772229460360000,18.30935986328125,0.21186530818349977,0.3438855817705077,0.09884882037940926,-0.0021292960441735187,0.9331167950094977,0.03556096352690595,0.7060079182449495
1738772229470351600,18.3193515625,0.21185893160734762,0.3438873430797242,0.09884666863930162,-0.002124047186919451,0.9331163328458415,0.035562517968022074,0.7060120228370207
1738772229480342500,18.329342529296873,0.21186429405787874,0.3438927056551699,0.09884783568280535,-0.0021305797192266917,0.9331143301878081,0.03556093698316298,0.7060230627834797
1738772229490333700,18.339333740234373,0.21186216727578946,0.3438951828766458,0.09884734778336679,-0.0021270212906368473,0.9331134257499699,0.035562509138426034,0.7060286835536106
1738772229500324600,18.34932470703125,0.21185960821035751,0.3438993289806818,0.09884603537095049,-0.0021267511449916273,0.9331120272002426,0.03556263462873266,0.7060374977813253
1738772229510315800,18.359315673828124,0.21185437805504387,0.3439007879163583,0.09884326690409456,-0.002128351558712542,0.9331118502169136,0.0355611250813229,0.7060402649536079
1738772229520307000,18.369306884765624,0.21186399321015356,0.3439009620602146,0.09884756386967979,-0.0021293828575385883,0.9331112840200677,0.035562328729677364,0.7060408946056145
1738772229530298600,18.379298583984376,0.21186136335464925,0.34390332714173966,0.0988454670747739,-0.00213396818016994,0.9331107037192868,0.03555996230405027,0.706045359741757
1738772229540289500,18.38928955078125,0.2118674772409951,0.34390346467739813,0.0988472059655918,-0.002140448442406132,0.9331105611992033,0.03555798080633925,0.7060452159505911
1738772229550280700,18.39928076171875,0.21187206361550462,0.3439025477058913,0.09884873641733216,-0.0021442365717533386,0.9331107720163879,0.03555689348698866,0.7060430181383329
1738772229560271600,18.409271728515623,0.21187966450412787,0.3439054155634301,0.09885220470134665,-0.002144021086103185,0.9331092345635462,0.035558626822903,0.7060494364574811
1738772229570262800,18.4192626953125,0.21188198691689256,0.3439055440488944,0.09885381334282721,-0.002140918587543412,0.9331089104593576,0.03556051118927802,0.7060500985613526
1738772229580253700,18.429253662109375,0.2118661994235033,0.3439085925859327,0.0988478470268677,-0.0021319681253913667,0.9331084282761833,0.03556230811840046,0.7060570486174786
1738772229590245600,18.43924560546875,0.21184688293162438,0.3439075720115823,0.0988420774280523,-0.0021132196366663554,0.9331092022621414,0.03556768780347351,0.7060561035382052
1738772229600236500,18.449236572265626,0.21184692535560232,0.3439029523797704,0.09884246796618709,-0.0021121179976615213,0.9331108795898011,0.03556772044970642,0.706046334791778
1738772229610227700,18.459227783203126,0.21185623014305316,0.34390376985073895,0.09884636436957679,-0.002114468411674664,0.9331101859220221,0.035568312537221904,0.7060482307497334
1738772229620219000,18.469218994140626,0.211846811181277,0.34390507483812705,0.09884389057005834,-0.0021028826592834004,0.9331098361673963,0.03557227901141367,0.7060519143640054
1738772229630209800,18.479209716796873,0.21183654056275625,0.3439045091070987,0.09883980882893767,-0.002098889267276138,0.933110466405724,0.035572318095888435,0.7060507250792841
1738772229640200700,18.48920068359375,0.21182445331898972,0.34390237186073014,0.0988368179971799,-0.0020839356978769323,0.9331112983003019,0.035577052334072365,0.7060471855479583
1738772229650192600,18.499192626953125,0.2118118908752776,0.3439039481847064,0.09883156271706513,-0.0020800296637851893,0.9331113081199571,0.03557687709725986,0.7060505235002629
1738772229660183600,18.50918359375,0.21181905541542956,0.34390403961951554,0.09883345173619697,-0.0020885391090441105,0.9331111685605035,0.035574118379589445,0.7060500816086743
1738772229670174700,18.5191748046875,0.21181030550391128,0.34390082851068116,0.09883083694036873,-0.0020807126431632477,0.9331125448751482,0.03557594862416018,0.7060436811999131
1738772229680166000,18.529165771484376,0.211810226681357,0.34390362570640765,0.0988320507625538,-0.0020727183130968756,0.9331111988598504,0.035580008105785335,0.7060504928116043
1738772229690156800,18.53915673828125,0.21180986711368835,0.34390248681236063,0.09883135823105889,-0.002076012159674344,0.9331118403577077,0.035578262733318114,0.7060477613168173
1738772229700147700,18.549147705078123,0.21181221110899565,0.3439074765077581,0.0988315891256248,-0.0020798611954056523,0.9331100566544386,0.03557738243288275,0.7060581794491363
1738772229710139600,18.5591396484375,0.21181553289337987,0.3439095773313835,0.09883251091280601,-0.0020831165308284076,0.9331091219129427,0.0355766561092454,0.7060623844510356
1738772229720130600,18.569130615234375,0.21181795014040122,0.34390610528886106,0.0988340231535254,-0.0020816553376422557,0.9331102265504342,0.03557739416309285,0.706055200674177
1738772229730121700,18.579121826171875,0.21181692811468306,0.34391074514342174,0.09883358105580435,-0.0020803414156230944,0.9331085480612266,0.035578329668300976,0.7060652646900928
1738772229740113000,18.58911279296875,0.21182922396190937,0.34391340738375475,0.09883642794761761,-0.0020966551162166264,0.9331074746839053,0.035573053441567984,0.7060697193399018
1738772229750103800,18.599103759765626,0.2118369818121608,0.34391400856428855,0.09883907486111039,-0.002102174675082456,0.9331070529415838,0.035571858993600505,0.7060707497369832
1738772229760094700,18.6090947265625,0.21182619492952032,0.3439149296405455,0.09883564135655723,-0.0020926341202583657,0.9331069218294571,0.035574587936238314,0.7060732781408222
1738772229770086700,18.619086669921874,0.21182614899069055,0.34391460936677326,0.09883525743047385,-0.002094818626910555,0.933107152152805,0.035573512366176153,0.7060723855313403
1738772229780077600,18.62907763671875,0.21182577670632027,0.343913762366287,0.09883393374012106,-0.0021017985520112486,0.9331077207585678,0.035570065292573304,0.7060698029447743
1738772229790068700,18.63906884765625,0.21183854874328764,0.34391593408182286,0.09883831741163134,-0.0021104652348716414,0.9331065602259009,0.0355684246609393,0.7060740638305437
1738772229800060000,18.649059814453125,0.21184941469744925,0.34391228848615035,0.09884182178423544,-0.002120593422833724,0.933107527626846,0.035565157404692065,0.706065475979358
1738772229810050800,18.65905078125,0.211855769019309,0.34391140983867236,0.09884472143037185,-0.0021211470918072795,0.9331075283729374,0.03556590600996528,0.7060637872527645
1738772229820041700,18.669041748046876,0.2118665011713902,0.34390721815572467,0.09884803189228074,-0.002132089255882032,0.9331088494706777,0.03556216302821706,0.7060540380578
