time,seconds_elapsed,z,y,x
1738773096284172800,0.7231728515625,-0.2127685546875,-0.0106658935546875,-0.983673095703125
1738773096294164700,0.733164794921875,-0.2146453857421875,-0.0106201171875,-0.9846954345703125
1738773096304156000,0.743156005859375,-0.2156219482421875,-0.0117950439453125,-0.984710693359375
1738773096314146800,0.753146728515625,-0.21343994140625,-0.0101165771484375,-0.98419189453125
1738773096324137700,0.7631376953125,-0.2142791748046875,-0.010284423828125,-0.9834442138671875
1738773096334129000,0.77312890625,-0.2138824462890625,-0.0110015869140625,-0.9845123291015625
1738773096344119800,0.783119873046875,-0.2140960693359375,-0.0118865966796875,-0.985137939453125
1738773096354110700,0.79311083984375,-0.2139739990234375,-0.0099639892578125,-0.983978271484375
1738773096364101600,0.8031015625,-0.2139129638671875,-0.01043701171875,-0.9837493896484375
1738773096374093800,0.81309375,-0.2140350341796875,-0.010711669921875,-0.9842681884765625
1738773096384084700,0.823084716796875,-0.2122955322265625,-0.0107574462890625,-0.983489990234375
1738773096394075600,0.83307568359375,-0.21441650390625,-0.010894775390625,-0.9840850830078125
1738773096404066800,0.84306689453125,-0.214813232421875,-0.01165771484375,-0.98321533203125
1738773096414057700,0.8530576171875,-0.212982177734375,-0.0103759765625,-0.9837799072265625
1738773096424048600,0.863048583984375,-0.21392822265625,-0.0104217529296875,-0.9843902587890625
1738773096434039800,0.873039794921875,-0.2137451171875,-0.0104827880859375,-0.9838104248046875
1738773096444030700,0.88303076171875,-0.2149200439453125,-0.0113525390625,-0.9842529296875
1738773096454022700,0.893022705078125,-0.21429443359375,-0.0105133056640625,-0.9847869873046875
1738773096464013800,0.903013916015625,-0.2139434814453125,-0.010406494140625,-0.9842529296875
1738773096474004700,0.913004638671875,-0.214935302734375,-0.010162353515625,-0.98480224609375
1738773096483995600,0.92299560546875,-0.2138519287109375,-0.0106964111328125,-0.9852294921875
1738773096493986800,0.93298681640625,-0.213897705078125,-0.0112457275390625,-0.9845123291015625
1738773096503977700,0.942977783203125,-0.213897705078125,-0.012359619140625,-0.9841766357421875
1738773096513968600,0.95296875,-0.2161407470703125,-0.0129547119140625,-0.9846649169921875
1738773096523959600,0.96295947265625,-0.2139892578125,-0.0102691650390625,-0.9845428466796875
1738773096533951700,0.97295166015625,-0.214202880859375,-0.0110626220703125,-0.983306884765625
1738773096543942700,0.982942626953125,-0.2150115966796875,-0.0108795166015625,-0.984375
1738773096553933600,0.99293359375,-0.21527099609375,-0.010589599609375,-0.9841461181640625
1738773096563924700,1.0029248046875,-0.213897705078125,-0.0114593505859375,-0.9854583740234375
1738773096573915600,1.01291552734375,-0.2138519287109375,-0.0106658935546875,-0.9846038818359375
1738773096583906600,1.022906494140625,-0.2135009765625,-0.0091400146484375,-0.9853363037109375
1738773096593897700,1.032897705078125,-0.2152099609375,-0.0113677978515625,-0.983306884765625
1738773096603888600,1.042888671875,-0.2134857177734375,-0.0110931396484375,-0.9837493896484375
1738773096613879800,1.0528798828125,-0.214874267578125,-0.011016845703125,-0.984649658203125
1738773096623871700,1.062871826171875,-0.2156982421875,-0.009521484375,-0.9839630126953125
1738773096633862700,1.072862548828125,-0.2138671875,-0.0100860595703125,-0.9830474853515625
1738773096643853600,1.082853515625,-0.2125701904296875,-0.0121307373046875,-0.9832916259765625
1738773096653844700,1.0928447265625,-0.21331787109375,-0.0106658935546875,-0.9821624755859375
1738773096663835600,1.102835693359375,-0.2132720947265625,-0.0107574462890625,-0.98504638671875
1738773096673826800,1.112826904296875,-0.2131805419921875,-0.0107269287109375,-0.984527587890625
1738773096683817700,1.122817626953125,-0.214935302734375,-0.0118408203125,-0.983306884765625
1738773096693809000,1.132808837890625,-0.2150726318359375,-0.0111083984375,-0.9841156005859375
1738773096703800600,1.142800537109375,-0.2155914306640625,-0.0108184814453125,-0.9849090576171875
1738773096713791700,1.152791748046875,-0.21502685546875,-0.011505126953125,-0.98382568359375
1738773096723782700,1.16278271484375,-0.2135772705078125,-0.0106658935546875,-0.98455810546875
1738773096733773800,1.17277392578125,-0.2156219482421875,-0.0107574462890625,-0.983123779296875
1738773096743764700,1.1827646484375,-0.2136993408203125,-0.0119476318359375,-0.98516845703125
1738773096753756000,1.192755859375,-0.214935302734375,-0.0114593505859375,-0.9845123291015625
1738773096763746800,1.202746826171875,-0.213714599609375,-0.0109100341796875,-0.983551025390625
1738773096773737700,1.21273779296875,-0.2137451171875,-0.010101318359375,-0.98358154296875
1738773096783729000,1.22272900390625,-0.213958740234375,-0.01116943359375,-0.983154296875
1738773096793720800,1.232720947265625,-0.2136077880859375,-0.0115814208984375,-0.9840545654296875
1738773096803711700,1.242711669921875,-0.21319580078125,-0.0116424560546875,-0.9842529296875
